Date,N_p,N_n,N_total,Actual_Return,Signal,Direction,Signal_Direction
2012-09-12,1.0,0.0,1.0,0.0031502447084044,1.0,1,"긍정 우세
(N_p > N_n)"
2012-09-13,0.0,0.0,1.0,0.0133320121471778,0.0,1,동률
2012-09-14,0.0,0.0,1.0,0.0089104521950631,0.0,1,동률
2012-09-19,0.0,0.0,1.0,0.0015167940982165,0.0,1,동률
2012-09-20,1.0,0.0,1.0,-0.002092664535749,1.0,0,"긍정 우세
(N_p > N_n)"
2012-09-24,1.0,0.0,1.0,-0.0060315009862483,1.0,0,"긍정 우세
(N_p > N_n)"
2012-09-28,0.0,0.0,1.0,-0.0064943303428196,0.0,0,동률
2012-10-05,0.0,0.0,1.0,-0.0042134269671109,0.0,0,동률
2012-10-09,0.0,0.0,1.0,-0.0152071832023787,0.0,0,동률
2012-10-17,0.0,0.0,2.0,0.0009513168858275,0.0,1,동률
2012-10-19,1.0,0.0,1.0,-0.0218850772845393,1.0,0,"긍정 우세
(N_p > N_n)"
2012-10-26,0.0,0.0,1.0,0.0006127797652355,0.0,1,동률
2012-11-07,2.0,0.0,3.0,-0.0247814173211752,2.0,0,"긍정 우세
(N_p > N_n)"
2012-11-08,1.0,0.0,2.0,-0.0142001506091692,1.0,0,"긍정 우세
(N_p > N_n)"
2012-11-09,0.0,0.0,1.0,0.0032083516296725,0.0,1,동률
2012-11-12,1.0,0.0,1.0,-0.0002134750135061,1.0,0,"긍정 우세
(N_p > N_n)"
2012-11-13,1.0,0.0,2.0,-0.0070104527578118,1.0,0,"긍정 우세
(N_p > N_n)"
2012-11-15,1.0,0.0,1.0,-0.0034670796380337,1.0,0,"긍정 우세
(N_p > N_n)"
2012-11-19,1.0,0.0,2.0,0.0220600491852938,1.0,1,"긍정 우세
(N_p > N_n)"
2012-11-26,0.0,0.0,1.0,0.0033469610239051,0.0,1,동률
2012-11-28,1.0,0.0,1.0,0.008083452642746,1.0,1,"긍정 우세
(N_p > N_n)"
2012-11-29,0.0,0.0,1.0,0.0067685457492538,0.0,1,동률
2012-12-04,0.0,0.0,1.0,-0.0018353240474453,0.0,0,동률
2012-12-05,1.0,0.0,1.0,-0.0076717947748663,1.0,0,"긍정 우세
(N_p > N_n)"
2012-12-06,1.0,0.0,1.0,0.0052359244762536,1.0,1,"긍정 우세
(N_p > N_n)"
2012-12-11,1.0,0.0,1.0,0.0118314568500386,1.0,1,"긍정 우세
(N_p > N_n)"
2012-12-12,1.0,0.0,1.0,-0.0028091156063961,1.0,0,"긍정 우세
(N_p > N_n)"
2012-12-18,0.0,0.0,1.0,0.0145917525462198,0.0,1,동률
2012-12-19,1.0,0.0,2.0,-0.0033294555226032,1.0,0,"긍정 우세
(N_p > N_n)"
2012-12-21,0.0,0.0,1.0,-0.0096315172312837,0.0,0,동률
2012-12-26,0.0,0.0,1.0,-0.0074487767441596,0.0,0,동률
2012-12-27,1.0,0.0,1.0,-0.0014213286663327,1.0,0,"긍정 우세
(N_p > N_n)"
2013-01-02,1.0,0.0,1.0,0.0307169042990518,1.0,1,"긍정 우세
(N_p > N_n)"
2013-01-04,1.0,0.0,1.0,0.0003514978619969,1.0,1,"긍정 우세
(N_p > N_n)"
2013-01-07,1.0,0.0,1.0,-0.0009188156008009,1.0,0,"긍정 우세
(N_p > N_n)"
2013-01-08,0.0,0.0,1.0,-0.0022589316116963,0.0,0,동률
2013-01-17,1.0,0.0,1.0,0.0059213228077901,1.0,1,"긍정 우세
(N_p > N_n)"
2013-01-22,1.0,0.0,1.0,0.0027019950198492,1.0,1,"긍정 우세
(N_p > N_n)"
2013-01-23,0.0,0.0,1.0,0.0033373813979842,0.0,1,동률
2013-01-24,0.0,0.0,1.0,-0.0073850591975247,0.0,0,동률
2013-01-25,1.0,0.0,1.0,0.0061749943612698,1.0,1,"긍정 우세
(N_p > N_n)"
2013-01-29,0.0,0.0,1.0,-0.000202940972273,0.0,0,동률
2013-01-31,2.0,0.0,2.0,-5.733863873724765e-05,2.0,0,"긍정 우세
(N_p > N_n)"
2013-02-04,0.0,0.0,1.0,-0.0150766488342364,0.0,0,동률
2013-02-06,1.0,0.0,1.0,-0.0009774615743212,1.0,0,"긍정 우세
(N_p > N_n)"
2013-02-08,1.0,0.0,2.0,0.0090802701434362,1.0,1,"긍정 우세
(N_p > N_n)"
2013-02-11,0.0,0.0,2.0,-0.0005855332618055,0.0,0,동률
2013-02-13,0.0,0.0,1.0,0.0032606073171317,0.0,1,동률
2013-02-14,0.0,0.0,3.0,0.0005568020576702,0.0,1,동률
2013-02-15,0.0,0.0,2.0,-0.0020727063816321,0.0,0,동률
